trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
49,0,49,0,101.88113969995175,102.87982849997934,102.89653639995959,up,1,0.6796967999543995,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
50,0,50,0,103.57848439994268,104.57714119995944,104.59420179994777,up,1,0.6428680999670178,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
51,0,51,0,105.24265719996765,106.24106010003015,106.25769030000083,up,1,0.8754085000837222,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
52,0,52,0,107.14103890000843,108.1382895000279,108.1550204999512,down,1,0.5060016000643373,-4,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
53,0,53,0,108.67092159995809,109.66945990000386,109.6864206000464,up,1,0.8537869000574574,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
54,0,54,0,110.55125160003081,111.54945569997653,111.56613409996498,up,1,0.6253576000453904,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
55,0,55,0,112.19854869996198,113.19743049994577,113.21391689998563,up,1,0.4902771000051871,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
56,0,56,0,113.71294640004635,114.71135150000919,114.72797759994864,up,1,0.4066910999827087,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
57,0,57,0,115.14618130004965,116.14240809995681,116.15953439997975,up,1,0.3956469000549987,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
58,0,58,0,116.55876239994541,117.55715010000858,117.57380629994441,up,1,0.37503669993020594,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
59,0,59,0,117.95643460005522,118.95502270001452,118.97164939995855,up,1,0.384483499918133,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
60,0,60,0,119.37092210003175,120.3698277999647,120.3865378999617,up,1,0.36929269996471703,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
61,0,61,0,120.76885740004946,121.76736209995579,121.78413249994628,up,0,0.3615704000694677,1,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
62,0,62,0,122.15080579998903,123.14849739999045,123.16518340003677,down,1,0.5224744000006467,3,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
63,0,63,0,123.69740629999433,124.69607119995635,124.71265979995951,down,1,0.4955403000349179,-2,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
64,0,64,0,125.21172809996642,126.21019949996844,126.21019949996844,down,1,0.4348025999497622,-3,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
65,0,65,0,126.67626370000653,127.67452260002028,127.69176990003325,down,1,0.43501889996696264,-5,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
66,0,66,0,128.14089130004868,129.13895010005217,129.15556210000068,down,1,0.4778956000227481,-4,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
67,0,67,0,129.63830180000514,130.6366828000173,130.6533212000504,up,1,0.56267860007938,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
68,0,68,0,131.2191706999438,132.2180328000104,132.23444419994485,down,1,0.5009504000190645,-5,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
69,0,69,0,132.75022359995637,133.74849769996945,133.7653412000509,up,1,0.6076466999948025,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
